idx,First_pokemon,Second_pokemon,Winner,Loser
1,266,298,298,266
2,702,701,701,702
3,191,668,668,191
4,237,683,683,237
5,151,231,151,231
6,657,752,657,752
7,192,134,134,192
8,73,545,545,73
9,220,763,763,220
10,302,31,31,302
11,442,130,130,442
12,701,624,701,624
13,15,283,283,15
14,151,87,151,87
15,269,462,269,462
16,763,448,448,763
17,143,263,263,143
18,365,240,240,365
19,499,774,499,774
20,563,578,563,578
21,440,687,687,440
22,373,441,441,373
23,654,671,671,654
24,121,355,121,355
25,609,649,649,609
26,270,708,270,708
27,460,568,568,460
28,626,767,767,626
29,139,451,139,451
30,694,747,694,747
31,455,549,549,455
32,181,301,301,181
33,208,184,184,208
34,536,365,536,365
35,260,381,381,260
36,471,269,269,471
37,621,287,287,621
38,406,134,406,134
39,592,503,503,592
40,564,242,242,564
41,579,242,242,579
42,200,719,200,719
43,376,135,376,135
44,76,441,441,76
45,667,645,645,667
46,475,400,475,400
47,3,737,737,3
48,435,45,435,45
49,231,146,146,231
50,510,715,715,510
51,456,260,260,456
52,164,751,751,164
53,424,754,424,754
54,258,779,258,779
55,360,208,208,360
56,723,646,646,723
57,384,533,533,384
58,734,673,673,734
59,141,721,141,721
60,244,741,244,741
61,509,217,509,217
62,633,44,633,44
63,595,719,595,719
64,606,40,606,40
65,368,598,368,598
66,746,584,746,584
67,350,187,350,187
68,303,198,303,198
69,169,701,701,169
70,569,115,115,569
71,231,172,172,231
72,71,440,71,440
73,659,610,610,659
74,570,557,557,570
75,712,40,712,40
76,451,352,451,352
77,661,95,95,661
78,540,4,540,4
79,130,319,130,319
80,125,418,418,125
81,309,276,276,309
82,579,612,612,579
83,716,80,80,716
84,482,535,535,482
85,376,37,37,376
86,6,328,328,6
87,343,159,159,343
88,509,574,574,509
89,546,530,546,530
90,486,229,229,486
91,686,213,213,686
92,304,386,386,304
93,514,732,732,514
94,161,757,161,757
95,150,265,265,150
96,436,701,701,436
97,221,265,265,221
98,436,603,603,436
99,242,365,242,365
100,792,251,792,251
101,607,295,607,295
102,439,209,209,439
103,657,360,657,360
104,436,40,40,436
105,325,408,408,325
106,472,89,472,89
107,71,777,71,777
108,47,615,47,615
109,5,670,5,670
110,793,314,314,793
111,195,461,195,461
112,493,568,493,568
113,400,341,341,400
114,63,297,63,297
115,541,446,541,446
116,141,152,141,152
117,54,115,115,54
118,378,161,161,378
119,224,316,316,224
120,311,398,398,311
121,298,35,298,35
122,356,132,356,132
123,103,370,103,370
124,503,453,503,453
125,600,598,600,598
126,445,45,445,45
127,360,548,548,360
128,303,133,133,303
129,51,331,51,331
130,171,559,171,559
131,758,129,758,129
132,6,255,6,255
133,698,154,154,698
134,92,491,491,92
135,381,73,381,73
136,354,271,271,354
137,219,49,219,49
138,736,244,244,736
139,683,245,245,683
140,533,452,533,452
141,200,588,588,200
142,403,636,403,636
143,56,561,561,56
144,54,119,119,54
145,629,141,629,141
146,547,779,547,779
147,380,547,547,380
148,407,307,307,407
149,153,559,153,559
150,306,268,306,268
151,89,382,89,382
152,54,32,32,54
153,172,745,745,172
154,16,110,110,16
155,537,734,537,734
156,278,94,278,94
157,342,643,643,342
158,435,165,165,435
159,638,691,691,638
160,734,718,718,734
161,298,781,298,781
162,42,113,42,113
163,97,316,97,316
164,416,397,397,416
165,483,400,483,400
166,275,155,155,275
167,154,461,154,461
168,309,4,4,309
169,539,30,30,539
170,545,266,545,266
171,283,340,340,283
172,232,254,254,232
173,384,427,427,384
174,161,781,161,781
175,496,420,496,420
176,268,159,159,268
177,473,593,473,593
178,550,475,550,475
179,199,785,785,199
180,385,732,732,385
181,488,196,488,196
182,30,587,30,587
183,36,494,494,36
184,513,184,184,513
185,129,106,129,106
186,6,604,6,604
187,137,315,137,315
188,83,509,509,83
189,585,534,585,534
190,743,57,57,743
191,220,723,723,220
192,764,665,764,665
193,708,439,708,439
194,28,545,545,28
195,23,796,23,796
196,698,147,147,698
197,306,635,635,306
198,158,666,158,666
199,55,750,750,55
200,513,439,513,439
201,769,264,264,769
202,232,499,499,232
203,23,623,23,623
204,97,250,250,97
205,324,544,544,324
206,517,10,517,10
207,586,461,461,586
208,779,349,349,779
209,669,226,226,669
210,623,53,623,53
211,538,718,718,538
212,438,242,438,242
213,523,759,523,759
214,14,103,103,14
215,378,152,152,378
216,478,361,478,361
217,137,698,137,698
218,354,739,739,354
219,233,684,684,233
220,291,605,291,605
221,96,264,264,96
222,730,137,137,730
223,129,744,129,744
224,611,107,611,107
225,58,560,560,58
226,658,146,658,146
227,625,753,625,753
228,524,27,524,27
229,794,474,794,474
230,365,391,391,365
231,592,585,592,585
232,512,586,512,586
233,526,424,424,526
234,70,456,70,456
235,540,288,540,288
236,347,389,347,389
237,689,128,128,689
238,211,701,701,211
239,336,385,336,385
240,594,80,80,594
241,785,490,490,785
242,425,308,425,308
243,27,731,731,27
244,459,399,459,399
245,421,494,421,494
246,578,768,768,578
247,63,82,63,82
248,257,221,257,221
249,4,150,4,150
250,546,333,546,333
251,308,544,544,308
252,213,442,213,442
253,575,302,302,575
254,209,645,209,645
255,92,768,92,768
256,116,672,116,672
