,totalDiff,HPDiff,attackDiff,DefenseDiff,SpAtkDiff,SpdefDiff,SpeedDiff,DAMAGE_A,DAMAGE_SP,TR,win_mapping
0,-40,-20,-6,10,-15,10,-19,33.12,33.12,-1.0,0
1,0,0,-39,-18,18,39,0,78.38399999999999,92.55199999999999,1.0,0
2,-80,-20,-35,10,-45,10,0,27.53376,98.39399999999998,0.0,0
3,-235,-37,-80,-50,10,-50,-28,13.524000000000001,16.56,-0.5,0
4,-10,50,50,-105,105,-160,50,916.3199999999999,1025.6160000000002,1.0,1
5,-201,-10,-3,-100,7,-100,5,19.595999999999997,16.56,-0.5,1
6,-135,-25,0,10,-45,-50,-25,17.016000000000002,20.01726315789474,0.0,0
7,-375,-80,-20,-70,-65,-85,-55,0.0,0.0,-1.0,0
8,-40,0,12,28,-23,-28,-29,59.29241379310345,31.740000000000002,0.0,0
9,-50,5,-25,-10,5,-20,-5,24.6192,14.904,-1.0,0
10,-95,10,10,-25,-40,-25,-25,18.37371428571429,15.61835294117647,0.0,0
11,277,53,99,5,17,25,78,62.376000000000005,112.05600000000001,0.0,1
12,-330,-50,-90,-35,-60,-65,-30,26.33364705882353,17.94,0.0,0
13,5,-25,-15,15,15,-10,25,48.300000000000004,87.768,-1.0,1
14,276,30,70,100,1,70,5,121.7923404255319,138.0,1.0,1
15,-54,-27,-32,11,3,12,-21,43.828799999999994,38.071015384615386,0.0,0
16,-45,40,0,5,-30,-5,-55,28.104,32.856,-1.0,0
17,-140,-55,-60,-20,-20,15,0,39.19199999999999,57.40800000000001,0.0,0
18,125,20,95,-62,90,-80,62,133.76064,107.52960000000002,1.5,1
19,41,-21,45,0,1,-25,41,31.701308411214956,90.69931034482758,0.0,1
20,-85,-1,-59,-32,21,6,-20,44.049600000000005,42.31474285714286,0.0,0
21,-62,26,-8,-15,-35,-30,0,13.359891891891895,22.9356,0.0,0
22,-185,-5,-15,-40,-80,-5,-40,15.322758620689655,41.469,0.0,0
23,-75,35,10,20,-100,-60,20,65.82124137931035,169.464,1.0,1
24,-148,-10,-40,-10,-5,-10,-73,27.048000000000002,20.445436893203883,0.5,0
25,0,6,-60,10,-30,54,20,42.228,65.0992,0.0,1
26,-76,-25,-31,15,14,-5,-44,87.768,41.469,0.0,0
27,-7,-4,-11,26,8,0,-26,172.2976,73.83,1.0,0
28,-33,-5,-20,16,-55,-9,40,39.19199999999999,39.19199999999999,0.0,1
29,18,-16,61,36,-35,-33,5,103.8425060240964,39.14953846153846,1.0,1
30,-105,-3,65,-40,-35,-50,-42,24.6192,20.976,-1.0,0
31,-40,-5,-50,-10,5,60,-40,39.19199999999999,34.82016,0.0,0
32,-110,-10,-15,-25,35,5,-100,15.69257142857143,13.290461538461539,-1.5,0
33,210,5,25,47,65,32,36,100.21560000000002,80.72448,0.0,1
34,-130,-30,-50,-63,0,-25,38,11.008457142857143,23.644,-1.5,0
35,-225,11,-81,-82,-3,-38,-32,57.675284210526314,89.6727887323944,1.0,0
36,108,12,45,29,5,29,-12,87.768,45.263999999999996,0.0,0
37,-125,-22,-20,20,-75,-30,2,20.183999999999997,27.687157894736842,0.5,1
38,45,33,-30,16,20,51,-45,79.2672,51.08033684210526,0.0,0
39,-45,10,-10,4,-30,4,-23,24.619199999999996,24.619199999999996,0.0,0
40,-36,15,-10,15,-29,-5,-22,30.784615384615385,19.57476923076923,0.0,0
41,107,44,-11,15,12,35,12,31.740000000000002,39.729473684210525,-1.5,1
42,-190,-25,-43,-2,-55,-15,-50,47.704421052631574,54.096000000000004,2.0,1
43,-230,-34,-11,-53,-41,-71,-20,28.495135135135136,41.952,1.5,0
44,-60,4,-10,-10,5,-20,-29,27.807000000000002,36.72203389830508,0.0,0
45,-60,-35,6,-26,-31,-14,40,24.13344,48.097600000000014,0.0,1
46,18,-6,14,11,-9,34,-26,15.250899082568804,18.564905660377356,-1.5,0
47,255,-20,64,85,30,60,36,87.768,157.596,0.0,1
48,-20,-110,-55,170,-100,135,-60,78.936,131.67323076923074,0.0,0
49,-246,-31,-10,-40,-67,-30,-68,33.761860465116285,45.99999999999999,1.5,0
50,-15,-15,-33,81,-28,33,-53,128.3478857142857,82.77339759036144,1.5,0
51,260,46,40,50,4,50,70,13.524000000000001,31.740000000000002,-0.5,0
52,208,-1,78,68,1,1,61,54.28,115.8248275862069,0.0,1
53,-4,2,-40,-33,35,5,27,13.6896,65.0778947368421,0.0,1
54,-135,-30,25,-10,-60,-40,-20,9.186857142857145,28.704000000000004,-1.5,0
55,-126,-12,-36,-27,-20,-25,-6,43.93920000000001,70.08303797468353,1.5,0
56,-100,20,5,-37,-35,-37,-16,27.048000000000002,32.41395348837209,0.0,0
57,-197,-21,-95,-10,-13,-20,-38,57.40800000000001,19.072835820895524,0.0,0
58,10,7,18,-43,-14,25,17,20.826810810810805,29.8425,-1.5,1
59,-20,-21,-10,-3,3,-12,23,58.40516129032258,68.5753846153846,1.0,1
60,9,-3,-52,2,-12,72,2,28.059999999999995,93.84,0.0,1
61,5,-13,29,-15,39,-40,5,29.74666666666667,24.6192,0.0,1
62,192,49,79,30,7,20,7,74.865,65.0778947368421,0.0,1
63,-20,-21,-2,12,-30,-6,27,20.453223529411765,16.16710588235294,-0.5,1
64,-51,-32,20,-15,-25,-15,16,28.476705882352938,32.29945945945946,0.0,1
65,75,7,-27,-31,38,35,53,81.45312,148.488,0.0,1
66,355,50,100,55,75,30,45,75.624,42.228,-1.0,1
67,-60,-15,-30,5,-5,-30,15,21.619999999999997,26.882400000000004,-1.5,1
68,-55,-11,-47,10,11,10,-28,106.72,72.98666666666666,1.0,0
69,-174,-9,-70,-16,15,-73,-21,20.636914285714287,9.12703448275862,-1.5,0
70,-29,-58,-74,152,-99,145,-95,39.81743119266055,43.276799999999994,-1.5,0
71,95,-9,-16,-23,54,19,70,22.999999999999996,71.98079999999999,0.0,1
72,-175,-26,-10,16,-86,11,-80,16.4496,18.7864,0.0,0
73,-82,-11,13,-45,13,-45,-7,27.048000000000002,18.880353982300882,0.0,0
74,195,44,68,23,35,15,10,45.621176470588246,41.33505882352941,0.0,1
75,23,-90,30,34,5,34,10,69.4784,101.45759999999999,1.0,1
76,-175,-50,-15,-10,-25,-35,-40,19.595999999999997,16.99371428571429,-0.5,0
77,-45,-5,25,-53,3,-50,35,23.66360655737705,34.638000000000005,0.0,1
78,-20,-54,-26,12,-1,12,37,30.98197183098592,44.505,0.0,1
79,-10,25,45,10,-50,-30,-10,35.88,35.88,0.0,0
80,-216,0,-50,-13,-65,-3,-85,36.67564137931034,46.72584827586208,1.5,0
81,-28,0,-17,15,1,-5,-22,54.80571428571429,19.57476923076923,0.0,0
82,85,20,7,12,48,8,-10,37.8258,49.39296,0.0,0
83,-235,-5,-35,-57,-40,-57,-41,20.108571428571427,23.941395348837208,0.0,0
84,-205,-50,-52,-32,-35,-15,-21,58.953599999999994,72.63157894736841,1.5,0
85,-75,8,-21,-67,-5,-50,60,27.619482352941176,121.16399999999999,0.0,0
86,-180,-25,-27,-35,-78,-10,-5,9.395040000000002,16.56,-1.5,0
87,-153,-30,-78,-13,-38,57,-51,42.69551020408163,92.09108910891088,1.5,0
88,155,105,20,-35,55,-35,45,117.61846153846153,167.44,0.0,1
89,0,-3,-41,16,24,36,-32,79.5984,67.7771076923077,0.5,0
90,-185,-50,20,-40,-20,-90,-5,22.631999999999998,12.589846153846153,0.0,0
91,-97,-16,-50,-10,-18,2,-5,17.21714285714286,31.095999999999997,-1.0,0
92,36,-8,-11,44,56,21,-66,59.37729729729729,28.782857142857143,0.0,0
93,132,8,30,12,33,24,25,66.76216216216217,59.43200000000001,0.0,1
94,-225,-65,-35,-15,0,-60,-50,43.239999999999995,26.33364705882353,-1.0,0
95,-271,-47,-71,-46,-14,-46,-47,12.512,8.801333333333332,-1.5,0
96,-115,-25,15,25,-30,-55,-45,59.43200000000001,28.476705882352938,0.0,0
97,-191,-31,-45,-36,-12,-36,-31,51.32022857142857,40.367999999999995,1.5,0
98,-10,-10,25,-25,25,-40,15,34.638000000000005,28.2624,0.0,1
99,205,-5,10,20,57,40,83,75.624,75.624,1.0,1
